exercise,subject_id,camera,model,num_frames,mean_nmpjpe,std_nmpjpe,median_nmpjpe,frames_over_30,frames_over_50,skip_rate,video_id,category
Ex2,PM_115,c17,MediaPipe full,1394,11.448589730164676,1.459815713550157,11.31731635177552,0,0,0.0038259206121472,PM_115-c17,clean
Ex2,PM_115,c17,MoveNet multipose,1390,9.413508368871767,9.09884735933725,9.015956123094409,1,1,0.0404676258992805,PM_115-c17,clean
Ex2,PM_115,c17,YOLOv8-Pose n,1394,12.314889499672551,29.541576408795823,10.31319744820612,7,7,0.0043639406982305,PM_115-c17,clean
Ex2,PM_115,c18,MediaPipe full,1394,12.70079883289512,2.4214632262591325,11.899068858406716,0,0,0.163558106169297,PM_115-c18,clean
Ex2,PM_115,c18,MoveNet multipose,1394,11.491049498109362,2.114058999245317,10.893177415660125,0,0,0.1576398852223816,PM_115-c18,clean
Ex2,PM_115,c18,YOLOv8-Pose n,1394,14.133226120441371,3.282349718223916,13.264301763018654,5,0,0.065638450502152,PM_115-c18,clean
Ex2,PM_123,c17,MediaPipe full,1462,10.935604081608162,1.4725397524797348,10.845549930196508,0,0,0.0117989056087551,PM_123-c17,clean
Ex2,PM_123,c17,MoveNet multipose,1462,9.142874793325294,1.824164924053714,9.17127002816953,0,0,0.0781463748290013,PM_123-c17,clean
Ex2,PM_123,c17,YOLOv8-Pose n,1433,10.370087857842565,1.7790390290886091,9.955643056696422,0,0,0.0004652244708071,PM_123-c17,clean
Ex2,PM_123,c18,MediaPipe full,1462,11.631471012801772,2.034666126392588,11.10744722224047,0,0,0.1495098039215686,PM_123-c18,clean
Ex2,PM_123,c18,MoveNet multipose,1462,9.736238096100896,1.7644041285412675,9.467382259535404,0,0,0.1318399452804377,PM_123-c18,clean
Ex2,PM_123,c18,YOLOv8-Pose n,1462,11.770566110928115,2.4852968425076374,11.203906061602472,0,0,0.0507865937072503,PM_123-c18,clean
Ex3,PM_010,c17,MediaPipe full,1356,81.90111577482281,136.2137103983659,15.00577493826324,327,304,0.2676376597836775,PM_010-c17,coach
Ex3,PM_010,c17,MoveNet multipose,1357,70.70703637705178,129.35813240805783,15.001786027919312,248,245,0.2897936624907885,PM_010-c17,coach
Ex3,PM_010,c17,YOLOv8-Pose n,1357,69.85807289055256,117.12408912078584,20.65672533449749,307,240,0.0209408007860476,PM_010-c17,coach
Ex3,PM_010,c18,MediaPipe full,1354,17.208003134924994,25.177456743834234,11.260132407195908,81,53,0.0510216642048252,PM_010-c18,clean
Ex3,PM_010,c18,MoveNet multipose,1323,15.225999214353722,23.723024426272783,11.537506933714957,34,30,0.1069538926681784,PM_010-c18,clean
Ex3,PM_010,c18,YOLOv8-Pose n,1357,17.306035250472714,25.2078685844449,12.377068924274672,46,45,0.0068165070007369,PM_010-c18,clean
Ex3,PM_011,c17,MediaPipe full,545,38.026274085087366,81.13120183240312,12.53793681000133,64,61,0.2392966360856269,PM_011-c17,coach
Ex3,PM_011,c17,MoveNet multipose,545,59.7017643531015,120.2719587063375,10.914365258603643,95,88,0.2131498470948012,PM_011-c17,coach
Ex3,PM_011,c17,YOLOv8-Pose n,545,66.15670391294096,118.55985584886768,17.78600638695989,96,94,0.0285932721712538,PM_011-c17,coach
Ex3,PM_011,c18,MediaPipe full,545,13.11637365450411,6.017753843112908,11.96989191428923,31,0,0.032262996941896,PM_011-c18,clean
Ex3,PM_011,c18,MoveNet multipose,545,12.971914062079636,4.028461280071239,13.189237020008283,0,0,0.0418960244648318,PM_011-c18,clean
Ex3,PM_011,c18,YOLOv8-Pose n,545,13.227565939377044,4.471869755360578,12.328062740832692,1,0,0.0140672782874617,PM_011-c18,clean
Ex3,PM_030,c17,MediaPipe full,729,18.586879919832768,30.178086742517603,12.635724814764645,35,34,0.23559670781893,PM_030-c17,clean
Ex3,PM_030,c17,MoveNet multipose,729,19.36633267314444,41.19929157689859,10.479971158926524,41,40,0.2347965249199817,PM_030-c17,clean
Ex3,PM_030,c17,YOLOv8-Pose n,729,22.798615714779302,40.749929245179146,14.189212173846492,40,40,0.0112025605852766,PM_030-c17,clean
Ex3,PM_030,c18,MediaPipe full,729,13.193041001401822,9.571751164188218,11.158552716980582,32,2,0.0152034750800182,PM_030-c18,clean
Ex3,PM_030,c18,MoveNet multipose,729,11.442370830504986,3.527430656833697,10.673463507265836,10,0,0.0168038408779149,PM_030-c18,clean
Ex3,PM_030,c18,YOLOv8-Pose n,729,13.09211199847137,5.297373623671434,11.08880423021126,15,1,0.007087334247828,PM_030-c18,clean
Ex3,PM_031,c17,MediaPipe full,545,15.868704675835318,31.15867774590979,9.230109077214273,34,27,0.2146788990825688,PM_031-c17,clean
Ex3,PM_031,c17,MoveNet multipose,545,12.834099295907643,22.20107556804401,9.981244500421756,13,13,0.2657492354740061,PM_031-c17,clean
Ex3,PM_031,c17,YOLOv8-Pose n,520,25.367241288997903,55.42560172149309,13.743471104118411,28,27,0.0424679487179487,PM_031-c17,clean
Ex3,PM_031,c18,MediaPipe full,545,10.455360884026238,3.8748594442352258,9.348929552318523,0,0,0.0478593272171253,PM_031-c18,clean
Ex3,PM_031,c18,MoveNet multipose,545,10.721793496450362,3.246873911195123,10.607930174283924,0,0,0.051223241590214,PM_031-c18,clean
Ex3,PM_031,c18,YOLOv8-Pose n,545,11.462546012624678,4.9069649447691726,9.625127304714235,0,0,0.0204892966360856,PM_031-c18,clean
Ex3,PM_044,c17,MediaPipe full,538,19.39358272663394,33.11362237961649,11.132127924118995,42,41,0.2273853779429988,PM_044-c17,clean
Ex3,PM_044,c17,MoveNet multipose,537,39.27006276369655,85.80064255841269,12.651738396647096,69,68,0.2099627560521415,PM_044-c17,clean
