patient_id,video_id,exercise,camera,model,video_median_nmpjpe
9,PM_119,Ex3,c17,MediaPipe,13.478209062231452
9,PM_119,Ex3,c17,MoveNet,13.0829176642312
9,PM_119,Ex3,c17,YOLOv8,16.262478795535532
9,PM_119,Ex3,c18,MediaPipe,16.847172848473676
9,PM_119,Ex3,c18,MoveNet,15.235766430669344
9,PM_119,Ex3,c18,YOLOv8,18.437093848925826
10,PM_045,Ex3,c17,MediaPipe,14.095268120871488
10,PM_045,Ex3,c17,MoveNet,13.319969720610318
10,PM_045,Ex3,c17,YOLOv8,16.335284939318313
10,PM_045,Ex3,c18,MediaPipe,13.1955454844573
10,PM_045,Ex3,c18,MoveNet,13.40414826016177
10,PM_045,Ex3,c18,YOLOv8,13.71158793485972
